,A,I,P,T,U,dates,Total
172,0.1740135205186051,0.03053861124914915,0.5335555866840319,0.14143419399400295,0.1204580875542109,2015Q3,3559727.36
173,0.16990689426157235,0.02872038357221405,0.5398862308097754,0.14018097729459644,0.12130551406184181,2015Q4,3547679.29
174,0.1694698765000401,0.02789280826267578,0.5495729569219,0.13340012371568147,0.11966423459970262,2016Q1,3512861.06
175,0.17231496259049361,0.028367450419533875,0.5565770902253581,0.13348761462031786,0.10925288214429651,2016Q2,3488295.16
176,0.17067780185798995,0.027545840147210215,0.5609922775403918,0.13922468185037584,0.10155939860403208,2016Q3,3478171.64
177,0.17157805800844583,0.028826327596887292,0.5632875693941229,0.1380321351643621,0.09827590983618172,2016Q4,3452086.2800000003
178,0.17227103082326406,0.03188961166519226,0.5641257748234363,0.13316660713322154,0.09854697555488574,2017Q1,3419982.3800000004
179,0.1732223328434864,0.03248993577608863,0.5672053105810204,0.14150681085247316,0.08557560994693136,2017Q2,3387956.22
180,0.1725561132353639,0.03578787247330913,0.5666403857314269,0.14402624124365904,0.08098938731624099,2017Q3,3392827.0
181,0.16857385247025264,0.03255282618852969,0.5753514278569979,0.14247317459491088,0.08104871888930892,2017Q4,3400589.84
182,0.17304597040801317,0.030198864350662966,0.5773077270562872,0.13675378223999604,0.08269365594504056,2018Q1,3394935.2800000003
183,0.1706020503992992,0.03081153721146763,0.583491878985896,0.13922119616736267,0.07587333723597439,2018Q2,3393838.46
184,0.17148742420321797,0.031014691149628876,0.5859306786289425,0.13865922876059342,0.0729079772576171,2018Q3,3365147.8100000005
185,0.174017871681037,0.030887155201828585,0.5780541298677704,0.148237231634023,0.06880361161534122,2018Q4,3360056.6099999994
186,0.17256118132639225,0.029779707904195516,0.583982540005902,0.1424218449979169,0.07125472576559339,2019Q1,3328518.88
187,0.17019744008139326,0.02774049786368809,0.5861783352518747,0.14713714582067253,0.06874658098237146,2019Q2,3335077.13
188,0.16931836334277453,0.035052538867614044,0.5828344963967215,0.14185054758967353,0.07094405380321629,2019Q3,3316292.45
189,0.17204876795590732,0.032004168029639624,0.5889929100454795,0.13635621505747247,0.07059793891150105,2019Q4,3281032.33
190,0.17501364353825513,0.044781088270589894,0.5832052166569546,0.12622038921518206,0.07077966231901837,2020Q1,3255313.92
191,0.1727500520597719,0.06489408276112059,0.5750962620944136,0.1063130513964539,0.08094655168823997,2020Q2,3222737.9000000004
192,0.16924239423235157,0.043984300120846004,0.5901087220581193,0.12037948269818971,0.07628510089049359,2020Q3,3202712.55
193,0.17122456550848125,0.04067765327599481,0.593666701330785,0.12306197056176175,0.07136910932297717,2020Q4,3166001.96
194,0.16970035460877617,0.04507092105397537,0.596447484928174,0.11596060348173051,0.07282063592734404,2021Q1,3137237.6399999997
195,0.17362586834432073,0.039169629096946976,0.6079419484745747,0.11632530563020921,0.06293724845394837,2021Q2,3111699.11
196,0.16669583297143073,0.03555932385457064,0.6041261331852,0.12443412431577434,0.06918458567302423,2021Q3,3090495.49
197,0.17427038995442104,0.03476701913508542,0.6088261215852595,0.1218472776468809,0.060289191678352984,2021Q4,3056621.8400000003
198,0.18262733219542948,0.03829301510772519,0.6054492572720264,0.11051698119571228,0.06311341422910671,2022Q1,3008227.21
199,0.18052630607133938,0.03722399882574938,0.6236010797411123,0.10248128534708897,0.05616733001470993,2022Q2,2975446.58
200,0.17050206246227798,0.04579567909035053,0.6388154563751985,0.08794268600174969,0.05694411607042344,2022Q3,2958347.4399999995
201,0.1697468041332585,0.04121617660127666,0.6496476300605144,0.07921679489842444,0.06017259430652605,2022Q4,2957865.82
