,A,I,P,T,U,dates,Total
176,0.08276995191235725,0.18393604027761892,0.44579178739870684,0.13272975754278935,0.1547724628685276,2016Q3,4378411.75
177,0.08732529293864373,0.17645567118138625,0.44666530420258194,0.1334873915129854,0.1560663401644027,2016Q4,4352065.79
178,0.08240349518793148,0.17821720937139904,0.44403000048405883,0.13256307031488557,0.1627862246417251,2017Q1,4364345.58
179,0.08269012617739967,0.18423720760330745,0.4497443563103972,0.1381502011880454,0.14517810872085016,2017Q2,4356059.0200000005
180,0.08227665016456068,0.1908514430618238,0.45636672628267216,0.13514435417351145,0.13536082631743196,2017Q3,4354971.42
181,0.08427582629182465,0.17724749971758694,0.4596394570567258,0.14280830775514938,0.1360289091787132,2017Q4,4355853.94
182,0.08075490518390387,0.18085484490384443,0.46437250822029696,0.13691766867653574,0.137100073015419,2018Q1,4358887.54
183,0.07853407924610008,0.18065887670731828,0.4710103382480893,0.14429454406760708,0.12550216173088516,2018Q2,4339971.300000001
184,0.0811270771233336,0.19281024301223015,0.4628463826046008,0.14539976760651738,0.117816529653318,2018Q3,4311205.24
185,0.08274723107113498,0.18135139377836787,0.468575494064757,0.14547706219446652,0.1218488188912737,2018Q4,4305645.1
186,0.08378161136509879,0.18347369380450845,0.4725502602693406,0.1369985925928192,0.12319584196823284,2019Q1,4294578.0600000005
187,0.0848349854976662,0.17737047550089816,0.47528055128345637,0.14524465348116047,0.11726933423681872,2019Q2,4283972.5600000005
188,0.08093931602609934,0.18200524614659058,0.47636376359200033,0.14094372336635963,0.11974795086895004,2019Q3,4240335.19
189,0.08414451946592523,0.1721855393387269,0.4777349928564029,0.14601600898664066,0.11991893935230444,2019Q4,4207383.109999999
190,0.08660743572932375,0.17969956537398304,0.4714714827346334,0.13779055414343258,0.12443096201862722,2020Q1,4188626.38
191,0.08213922342332412,0.23049142743665052,0.4544579499872512,0.1239229115758244,0.10898848757694975,2020Q2,4190825.8400000003
192,0.08123954469479969,0.19645829473097307,0.4674700826462337,0.12828842734464682,0.12654365058334668,2020Q3,4189888.45
193,0.07879698200207601,0.17576589550465477,0.465354383584371,0.1413842929468965,0.1386984459620018,2020Q4,4183038.0
194,0.08177345339163318,0.17630694743215233,0.4715433960331797,0.13682135711174473,0.13355484603129017,2021Q1,4255831.27
195,0.08762676342566178,0.1699838604509876,0.47216600934874436,0.14584933417769316,0.12437403259691315,2021Q2,4202694.88
196,0.08782736341174394,0.17342256000097905,0.47270599674791736,0.14877493292043223,0.11726914691892742,2021Q3,4188522.07
197,0.08880628939664859,0.1671086302561375,0.48147384728736964,0.15057530386027293,0.11203592919957128,2021Q4,4138300.93
198,0.09506901946502767,0.17200215524671822,0.47399476478488567,0.14378820001935627,0.11514586048401208,2022Q1,4114016.24
199,0.09290272998480163,0.17753399357038377,0.492013666443255,0.13195392619245522,0.1055956838091044,2022Q2,4087656.09
200,0.09285393996555075,0.17538726417021555,0.512833287179913,0.11321662739650944,0.10570888128781114,2022Q3,4071276.4600000004
201,0.08592751089072888,0.16774757768705909,0.5302024332468509,0.10596536254585766,0.11015711562950344,2022Q4,4086278.3800000004
