
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)"
="",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive",="inactive"

="",="(0.0558)",="(0.118)",="(0.0632)",="(0.0651)",="(0.0420)",="(0.0746)",="(0.0502)",="(0.0464)",="(0.0620)",="(0.0748)",="(0.0774)",="(0.152)",="(0.0893)",="(0.0530)",="(0.0518)",="(0.0665)",="(0.0451)",="(0.0453)",="(0.0394)",="(0.0728)",="(0.110)",="(0.0926)",="(0.0874)",="(0.134)",="(0.0840)",="(0.210)",="(0.0547)",="(0.0668)",="(0.102)",="(0.102)",="(0.0505)",="(0.147)"

="8.act",="0.169***",="0.231***",="0.268***",="0.276***",="0.182***",="0.353***",="0.180***",="0.162***",="0.203***",="0.302***",="0.423**",="0.390**",="0.328***",="0.183***",="0.236***",="0.275***",="0.144***",="0.143***",="0.159***",="0.242***",="0.177***",="0.316***",="0.248***",="0.232***",="0.159***",="0.234***",="0.197***",="0.211***",="0.237***",="0.254***",="0.177***",="0.297**"
="",="(0.0501)",="(0.0785)",="(0.0793)",="(0.0914)",="(0.0547)",="(0.108)",="(0.0462)",="(0.0430)",="(0.0583)",="(0.0882)",="(0.119)",="(0.138)",="(0.100)",="(0.0487)",="(0.0659)",="(0.0745)",="(0.0423)",="(0.0388)",="(0.0404)",="(0.0752)",="(0.0553)",="(0.0841)",="(0.0700)",="(0.0722)",="(0.0518)",="(0.0915)",="(0.0630)",="(0.0721)",="(0.0825)",="(0.0866)",="(0.0593)",="(0.114)"

="9.act",="0.221***",="0.256***",="0.191***",="0.374**",="0.196***",="0.436*",="0.256***",="0.180***",="0.259***",="0.380**",="0.388**",="0.601",="0.572",="0.333***",="0.434**",="0.651",="0.271***",="0.190***",="0.166***",="0.563",="0.477*",="0.531*",="0.313***",="0.613",="0.274***",="0.444",="0.275**",="0.309**",="0.368*",="0.416*",="0.302**",="0.334*"
="",="(0.0771)",="(0.105)",="(0.0681)",="(0.137)",="(0.0798)",="(0.155)",="(0.0778)",="(0.0577)",="(0.0854)",="(0.129)",="(0.134)",="(0.233)",="(0.192)",="(0.0990)",="(0.138)",="(0.191)",="(0.0856)",="(0.0620)",="(0.0513)",="(0.196)",="(0.156)",="(0.161)",="(0.101)",="(0.207)",="(0.0982)",="(0.217)",="(0.117)",="(0.128)",="(0.155)",="(0.178)",="(0.121)",="(0.153)"

="N",="5393",="5315",="5070",="5134",="5066",="5095",="5068",="5076",="5108",="4938",="4847",="4906",="4913",="4861",="4827",="4996",="5025",="4975",="4822",="4723",="4470",="4168",="4013",="3956",="3718",="3446",="3249",="3293",="3304",="3352",="3267",="3217"

="Exponentiated coefficients; Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
