
. tab ciclo ocup1 if state=="P"|state=="T"

           |                               ocup1
     ciclo |         0          1          2          3          4          5 |     Total
-----------+------------------------------------------------------------------+----------
     Total |    25,023     90,733    618,158    419,068    413,490    721,080 | 3,624,033 


           |                    ocup1
     ciclo |         6          7          8          9 |     Total
-----------+--------------------------------------------+----------
       130 |       541      8,297      5,190      8,088 |    49,892 
       131 |       578      8,364      5,161      8,166 |    50,377 
       132 |       553      8,300      4,988      8,008 |    49,833 
       133 |       518      8,299      5,110      8,018 |    49,951 
       134 |       531      8,467      5,163      8,268 |    51,254 
       135 |       562      8,878      5,373      8,886 |    53,960 
       136 |       566      8,870      5,394      8,811 |    54,000 
       137 |       543      8,819      5,479      8,864 |    54,251 
       138 |       534      8,967      5,610      9,158 |    55,678 
       139 |       550      9,190      5,720      9,306 |    57,120 
       140 |       552      9,242      5,669      9,075 |    57,179 
       141 |       524      9,159      5,766      8,963 |    56,751 
       142 |       520      9,009      5,818      8,995 |    56,743 
       143 |       545      8,798      5,790      8,799 |    56,819 
       144 |       572      8,462      5,625      8,638 |    56,003 
       145 |       540      7,689      5,299      8,441 |    54,217 
       146 |       545      7,276      5,112      8,104 |    52,965 
       147 |       596      7,122      4,993      7,868 |    52,566 
       148 |       613      7,389      5,173      8,318 |    55,313 
       149 |       602      7,166      5,085      8,248 |    54,735 
       150 |       616      6,706      5,029      8,056 |    53,700 
       151 |       616      6,760      5,056      7,720 |    53,274 
       152 |       599      6,665      5,050      7,739 |    53,185 
       153 |       552      6,394      4,950      7,747 |    52,500 
       154 |       571      6,140      4,493      7,330 |    52,248 
       155 |       612      6,212      4,585      7,363 |    52,599 
       156 |       624      6,090      4,439      7,226 |    51,765 
       157 |       566      5,710      4,243      7,074 |    49,841 
       158 |       560      5,461      4,222      6,859 |    49,631 
       159 |       567      5,416      4,185      6,683 |    49,371 
       160 |       550      5,325      4,112      6,821 |    48,772 
       161 |       536      5,090      3,961      6,959 |    47,790 
       162 |       527      4,879      3,855      6,676 |    46,720 
       163 |       533      4,902      3,955      6,858 |    47,537 
       164 |       552      4,940      3,869      7,008 |    47,676 
       165 |       510      4,923      3,798      7,151 |    47,462 
       166 |       539      4,893      3,769      7,097 |    47,212 
       167 |       538      4,970      3,955      7,004 |    48,079 
       168 |       529      5,021      3,888      6,950 |    47,916 
       169 |       525      5,069      3,854      7,080 |    47,836 
       170 |       517      4,994      3,916      6,831 |    47,404 
       171 |       566      5,095      4,048      6,961 |    48,237 
       172 |       552      5,037      3,981      7,009 |    48,186 
       173 |       544      5,036      3,907      7,156 |    48,157 
       174 |       535      4,982      3,851      6,897 |    47,428 
       175 |       513      5,040      3,972      7,095 |    48,036 
       176 |       548      5,185      4,050      7,202 |    48,702 
       177 |       532      5,138      4,053      7,217 |    48,282 
       178 |       559      5,047      4,092      7,048 |    48,388 
       179 |       568      5,242      4,199      7,146 |    49,538 
       180 |       571      5,272      4,207      7,285 |    50,201 
       181 |       560      5,399      4,218      7,381 |    50,345 
       182 |       509      5,441      4,262      7,259 |    50,458 
       183 |       563      5,597      4,317      7,483 |    52,051 
       184 |       541      5,513      4,394      7,516 |    52,500 
       185 |       519      5,526      4,466      7,693 |    52,934 
       186 |       524      5,560      4,480      7,596 |    53,020 
       187 |       554      5,631      4,558      7,577 |    53,786 
       188 |       546      5,625      4,614      7,556 |    53,760 
       189 |       513      5,554      4,526      7,545 |    53,578 
       190 |       499      5,333      4,286      7,134 |    51,031 
       191 |       452      4,787      3,909      6,027 |    45,854 
       192 |       475      4,952      3,931      6,245 |    47,058 
       193 |       499      5,004      4,051      6,367 |    47,561 
       194 |       485      4,693      3,926      6,040 |    45,397 
       195 |       471      4,670      3,831      6,004 |    44,767 
       196 |       465      4,441      3,797      5,881 |    43,730 
       197 |       445      4,426      3,800      5,989 |    43,873 
       198 |       439      4,417      3,872      5,903 |    43,688 
       199 |       476      4,472      3,856      5,908 |    44,289 
       200 |       498      4,386      3,861      5,635 |    43,845 
       201 |       459      4,320      3,847      5,660 |    43,228 
-----------+--------------------------------------------+----------
     Total |    38,804    441,144    323,864    532,669 | 3,624,033 

. log close
