
. tab ciclo rznotb if age3040&woman [fweight=facexp]

           |                                    rznotb
     ciclo |         0          1          2          3          4          5          6 |     Total
-----------+-----------------------------------------------------------------------------+----------
       174 |     63650     834831          0     118068      21673      28352          0 |  20757533 
       175 |     73721     694197      17462      54504          0          0      27149 |  18740921 
       176 |    253019    1761133          0     203415      21797          0          0 |  47312458 
       177 |    124262     514161      20039     256042          0          0          0 |  22096610 
       178 |    234198    1119536      29637     215201          0          0          0 |  21840048 
       179 |     45914     542739          0      53294          0          0          0 |  21148877 
       180 |    264055    1630049          0     187306          0          0          0 |  48667668 
       181 |    197151     729143          0      84216      72090          0      17713 |  24305757 
       182 |     95579    1367511      99371      75690      66808          0      52877 |  21997395 
       183 |    240075     372557          0     147727          0          0          0 |  19312367 
       184 |     77155    1336391          0     285643          0          0          0 |  43801643 
       185 |         0     498563      46530     198573          0          0          0 |  22492843 
       186 |     61786    1117592          0     161531          0      42011      10238 |  20961847 
       187 |    277552     403632          0      29534      24699          0          0 |  19964261 
       188 |    152790     567705          0      86339      24370      15577          0 |  42830799 
       189 |    100362    1082466          0      94539          0          0          0 |  24781568 
       190 |    156578    1646800          0    3893649    3059788          0      53529 |  30304225 
       191 |    114205     506546          0   15890500   29130442          0          0 |  66597016 
       192 |    383747     784033          0    2002035    8636242          0      47050 |  50143061 
       193 |    158402     568111          0    1805451    7991152          0      66597 |  31759978 
       194 |     36167     635130     140271    1709599    8031602          0          0 |  33457384 
       195 |    158918     859651          0     549119    4065815          0          0 |  26299379 
       196 |    122212    1086610          0     308284    1769648          0          0 |  50100652 
       197 |         0     439518      56365     225095    1412194          0      34811 |  29378692 
       198 |    321735     916240          0     209865     958616          0          0 |  25722338 
       199 |     33449     385592          0      86900     561791          0          0 |  22914622 
       200 |    321471    1255860          0     196272     354223          0      40540 |  50836689 
       201 |    124080    1633845          0     153296          0          0      28641 |  29010163 
-----------+-----------------------------------------------------------------------------+----------
     Total |  10672279   59646065    1475745   37628108   70351735     597431    1427849 |2227947455 


           |        rznotb
     ciclo |        14         15 |     Total
-----------+----------------------+----------
       130 |    217063     597388 |  24412845 
       131 |    333021     397188 |  18095939 
