Número de sociedades y capital (en miles de euros);Comunidades y Ciudades Autónomas;Forma jurídica;Periodo;Total
Número de Sociedades;Total Nacional;Total;2009M01;6.497
Número de Sociedades;Total Nacional;Total;2009M02;7.586
Número de Sociedades;Total Nacional;Total;2009M03;8.404
Número de Sociedades;Total Nacional;Total;2009M04;6.343
Número de Sociedades;Total Nacional;Total;2009M05;6.768
Número de Sociedades;Total Nacional;Total;2009M06;6.851
Número de Sociedades;Total Nacional;Total;2009M07;6.122
Número de Sociedades;Total Nacional;Total;2009M08;4.665
Número de Sociedades;Total Nacional;Total;2009M09;5.339
Número de Sociedades;Total Nacional;Total;2009M10;6.290
Número de Sociedades;Total Nacional;Total;2009M11;6.938
Número de Sociedades;Total Nacional;Total;2009M12;6.401
Número de Sociedades;Total Nacional;Total;2010M01;6.268
Número de Sociedades;Total Nacional;Total;2010M02;7.757
Número de Sociedades;Total Nacional;Total;2010M03;8.731
Número de Sociedades;Total Nacional;Total;2010M04;7.267
Número de Sociedades;Total Nacional;Total;2010M05;7.712
Número de Sociedades;Total Nacional;Total;2010M06;7.141
Número de Sociedades;Total Nacional;Total;2010M07;6.690
Número de Sociedades;Total Nacional;Total;2010M08;4.852
Número de Sociedades;Total Nacional;Total;2010M09;5.207
Número de Sociedades;Total Nacional;Total;2010M10;5.492
Número de Sociedades;Total Nacional;Total;2010M11;6.682
Número de Sociedades;Total Nacional;Total;2010M12;6.195
Número de Sociedades;Total Nacional;Total;2011M01;7.124
Número de Sociedades;Total Nacional;Total;2011M02;7.959
Número de Sociedades;Total Nacional;Total;2011M03;9.316
Número de Sociedades;Total Nacional;Total;2011M04;6.899
Número de Sociedades;Total Nacional;Total;2011M05;8.105
Número de Sociedades;Total Nacional;Total;2011M06;7.634
Número de Sociedades;Total Nacional;Total;2011M07;6.476
Número de Sociedades;Total Nacional;Total;2011M08;5.309
Número de Sociedades;Total Nacional;Total;2011M09;5.756
Número de Sociedades;Total Nacional;Total;2011M10;6.380
Número de Sociedades;Total Nacional;Total;2011M11;7.251
Número de Sociedades;Total Nacional;Total;2011M12;6.603
Número de Sociedades;Total Nacional;Total;2012M01;7.955
Número de Sociedades;Total Nacional;Total;2012M02;8.219
Número de Sociedades;Total Nacional;Total;2012M03;8.741
Número de Sociedades;Total Nacional;Total;2012M04;6.849
Número de Sociedades;Total Nacional;Total;2012M05;8.038
Número de Sociedades;Total Nacional;Total;2012M06;7.549
Número de Sociedades;Total Nacional;Total;2012M07;6.935
Número de Sociedades;Total Nacional;Total;2012M08;5.470
Número de Sociedades;Total Nacional;Total;2012M09;5.984
Número de Sociedades;Total Nacional;Total;2012M10;7.547
Número de Sociedades;Total Nacional;Total;2012M11;7.597
Número de Sociedades;Total Nacional;Total;2012M12;6.298
Número de Sociedades;Total Nacional;Total;2013M01;8.861
Número de Sociedades;Total Nacional;Total;2013M02;8.653
Número de Sociedades;Total Nacional;Total;2013M03;8.339
Número de Sociedades;Total Nacional;Total;2013M04;8.938
Número de Sociedades;Total Nacional;Total;2013M05;8.855
Número de Sociedades;Total Nacional;Total;2013M06;7.624
Número de Sociedades;Total Nacional;Total;2013M07;8.064
Número de Sociedades;Total Nacional;Total;2013M08;5.681
Número de Sociedades;Total Nacional;Total;2013M09;6.288
Número de Sociedades;Total Nacional;Total;2013M10;7.759
Número de Sociedades;Total Nacional;Total;2013M11;7.350
Número de Sociedades;Total Nacional;Total;2013M12;7.008
Número de Sociedades;Total Nacional;Total;2014M01;8.961
Número de Sociedades;Total Nacional;Total;2014M02;8.978
Número de Sociedades;Total Nacional;Total;2014M03;9.519
Número de Sociedades;Total Nacional;Total;2014M04;8.428
Número de Sociedades;Total Nacional;Total;2014M05;8.216
Número de Sociedades;Total Nacional;Total;2014M06;7.530
Número de Sociedades;Total Nacional;Total;2014M07;7.966
Número de Sociedades;Total Nacional;Total;2014M08;5.111
