     ciclo |         0          1          2          3          4          5          6 |     Total
       168 |   2112300    7005850   10442990   10922678    9099486   22487090   14718396 | 115144012 
       169 |   1976807    7386603   11133884    9792062    9184294   22575129   14805716 | 113634042 
       170 |   2264547    6565632   11307247    9992526    9719272   22099647   15084643 | 112180638 
       171 |   2360432    6590644   11414476   10426749    9217814   21995705   15014172 | 112552969 
       172 |   2482638    6932950   11145822   10055250    8154194   24242271   15068645 | 111840757 
       173 |   2969238    6920877   11838911    8966114    8575761   22896797   13974479 | 111690986 
       174 |   2794681    6889708   11995487    9532314    8383889   23258845   14378139 | 113170053 
       175 |   2792476    7409499   11788540    8984824    8812376   24937721   14177451 | 113196622 
       176 |   2691975    6823389   11580394    8623220    8858315   26094940   12887284 | 111394449 
       177 |   2863586    6669663   11604231    8548894    8119068   24273592   13717595 | 108468820 
       178 |   2736771    6841230   11887626    8949123    8339733   22574734   13352346 | 106773548 
       179 |   2073874    6872020   11237447    9821059    8517599   22427266   13255378 | 106073856 
       180 |   2620336    6740591   10401900    9260183    8452921   22963629   14423970 | 106263966 
       181 |   2613428    6099822   10514462   10491796    8065817   22125134   14574866 | 106186566 
       182 |   2889904    5709911   10215196    9716912    8539833   22005081   16376306 | 106361788 
       183 |   2961636    5782231    9933935    9838924    8519558   23270836   15391565 | 105204208 
       184 |   2989767    5536931   10482798    9027359    7907086   23562863   13390076 | 103483399 
       185 |   2662216    5461612   10351662    7711468    7663596   22376538   12377964 |  99284158 
       186 |   2413875    5294027   10501056    7581793    8040744   22632858   13267327 |  99547531 
       187 |   2267514    5212585   11468829    8012323    7493472   23552522   14404280 | 101904968 
       188 |   2371091    5180449   11865541    8421015    7112406   23249515   13590006 | 100094857 
       189 |   2762214    5439402   10455131    7970941    8012176   21217161   14593612 |  99317909 
       190 |   2738887    5343544   10133316    8420458    7486155   21843124   14147006 |  98892213 
       191 |   2717360    5521639    9490248    8736282    7844503   20457429   12322718 |  95363222 
       192 |   3056753    5112140    9279301    8345121    8131763   21629886   11740311 |  95743562 
       193 |   3229079    5040110    8666465    8919034    9362986   21847066   11192573 |  96372965 
       194 |   2706803    4526916    9514421    7791241    8601851   20195071   12565644 |  93754137 
       195 |   2619474    4257344    9151834    7625974    7806692   20437071   12596433 |  93565612 
       196 |   2322361    4184880    8640651    8273604    7497277   19917383   12049756 |  91127319 
       197 |   1919039    5031112    8631792    7701512    7809890   19055183   12862012 |  91170780 
       198 |   2276322    5707552    8897351    6925892    7247126   19342381   12870038 |  91191146 
       199 |   2250443    5790567    8873945    7550648    8507256   20583118   13535891 |  95884539 
       200 |   2660651    6528990    8235383    7584272    9055548   21101500   13927163 |  98328464 
       201 |   3161505    6192390    9124588    8095958    8937618   21318497   14623511 |  98967053 
-----------+-----------------------------------------------------------------------------+----------
     Total | 184006888  524037304  900387820  741807187  862497700 1704881987 1032264486 |8471781214 
