
. tab ciclo act1 if state=="P"|state=="T"

           |                               act1
     ciclo |         0          1          2          3          4          5 |     Total
-----------+------------------------------------------------------------------+----------
       145 |     3,663      6,030     14,449      3,724 |    54,217 
       146 |     3,507      6,041     14,426      3,604 |    52,965 
       147 |     3,517      6,006     14,484      3,590 |    52,566 
       148 |     3,698      6,258     15,298      3,871 |    55,313 
       149 |     3,726      6,177     15,407      3,840 |    54,735 
       150 |     3,622      6,082     15,307      3,860 |    53,700 
       151 |     3,577      6,074     15,083      3,865 |    53,274 
       152 |     3,641      6,023     15,065      3,808 |    53,185 
       153 |     3,594      5,878     15,198      3,683 |    52,500 
       154 |     3,494      5,903     15,392      3,629 |    52,248 
       155 |     3,514      5,989     15,457      3,754 |    52,599 
       156 |     3,480      5,820     15,098      3,669 |    51,765 
       157 |     3,400      5,643     14,780      3,473 |    49,841 
       158 |     3,422      5,704     14,945      3,504 |    49,631 
       159 |     3,439      5,713     14,767      3,488 |    49,371 
       160 |     3,397      5,647     14,227      3,610 |    48,772 
       161 |     3,326      5,517     14,136      3,565 |    47,790 
       162 |     3,220      5,471     13,913      3,573 |    46,720 
       163 |     3,297      5,515     14,103      3,674 |    47,537 
       164 |     3,311      5,656     13,881      3,710 |    47,676 
       165 |     3,297      5,606     14,050      3,588 |    47,462 
       166 |     3,245      5,488     14,233      3,558 |    47,212 
       167 |     3,305      5,646     14,291      3,649 |    48,079 
       168 |     3,304      5,591     13,907      3,700 |    47,916 
       169 |     3,283      5,588     14,061      3,646 |    47,836 
       170 |     3,281      5,552     14,108      3,588 |    47,404 
       171 |     3,309      5,509     14,144      3,651 |    48,237 
       172 |     3,354      5,536     13,851      3,710 |    48,186 
       173 |     3,426      5,562     14,038      3,662 |    48,157 
       174 |     3,363      5,508     13,959      3,538 |    47,428 
       175 |     3,446      5,517     13,911      3,608 |    48,036 
       176 |     3,452      5,661     13,901      3,630 |    48,702 
       177 |     3,480      5,624     13,861      3,536 |    48,282 
       178 |     3,479      5,692     13,974      3,521 |    48,388 
       179 |     3,510      5,772     14,188      3,601 |    49,538 
       180 |     3,553      5,830     14,197      3,740 |    50,201 
       181 |     3,616      5,774     14,470      3,746 |    50,345 
       182 |     3,697      5,768     14,738      3,685 |    50,458 
       183 |     3,728      5,876     14,921      3,741 |    52,051 
       184 |     3,748      5,895     14,906      3,811 |    52,500 
       185 |     3,860      6,085     15,262      3,744 |    52,934 
       186 |     3,909      6,044     15,462      3,787 |    53,020 
       187 |     3,976      6,167     15,435      3,798 |    53,786 
       188 |     3,872      6,139     15,266      3,825 |    53,760 
       189 |     3,956      6,185     15,537      3,688 |    53,578 
       190 |     3,773      5,902     14,965      3,461 |    51,031 
       191 |     3,477      5,405     13,983      2,825 |    45,854 
       192 |     3,499      5,552     14,146      3,011 |    47,058 
       193 |     3,554      5,603     14,620      3,031 |    47,561 
       194 |     3,443      5,461     14,119      2,818 |    45,397 
       195 |     3,298      5,272     13,735      2,882 |    44,767 
       196 |     3,292      5,169     13,113      2,814 |    43,730 
       197 |     3,435      5,226     13,258      2,722 |    43,873 
       198 |     3,518      5,140     13,174      2,791 |    43,688 
       199 |     3,479      5,081     13,216      2,852 |    44,289 
       200 |     3,519      5,080     12,958      2,799 |    43,845 
       201 |     3,552      5,036     13,010      2,715 |    43,228 
-----------+--------------------------------------------+----------
     Total |   245,154    411,707  1,019,840    259,266 | 3,624,033 

. log close
