
. tab ciclo ocup1 if state=="P"|state=="T" [fweight=facexp]

           |                               ocup1
     ciclo |         0          1          2          3          4          5 |     Total
-----------+------------------------------------------------------------------+----------
       150 |  17108752  186334170  137896758  252097780 |1548960261 
       151 |  18126593  191712711  141596714  245712424 |1561986722 
       152 |  17233676  189141528  142750814  247512055 |1570511132 
       153 |  15847842  183373684  140189362  247574044 |1555470531 
       154 |  16432683  179277220  126240179  233895950 |1536740519 
       155 |  17733366  179978845  128695134  238328323 |1557953758 
       156 |  17607371  175905620  125605863  231994677 |1547933089 
       157 |  15714138  169465201  122691309  229285822 |1515053155 
       158 |  15408970  156869445  117886453  219370433 |1472371788 
       159 |  15090192  154750753  114911218  211872593 |1464146224 
       160 |  16894032  150905767  114460946  216247040 |1456086229 
       161 |  14732787  142118692  110907740  222155579 |1428866845 
       162 |  14258424  138974747  108843006  210801941 |1398698266 
       163 |  14525888  138680072  109731776  215720295 |1407218098 
       164 |  14623916  138381466  109345446  214090375 |1412385227 
       165 |  13920253  140512636  106436758  219611939 |1409343308 
       166 |  14586745  137859678  105446886  213908845 |1392946752 
       167 |  15239882  141155853  111767814  215426379 |1431746011 
       168 |  15184669  143243082  111203578  212869517 |1441314329 
       169 |  15460909  145843401  110557449  216757488 |1448308910 
       170 |  15558135  147132790  111205558  214822998 |1439389127 
       171 |  17243689  149854588  116153303  222695455 |1476228133 
       172 |  17480355  151155028  115455991  224185942 |1494893251 
       173 |  17061542  150674363  112790771  230420032 |1498878776 
       174 |  16726149  154154431  114024386  226452699 |1493514138 
       175 |  14891059  157192742  119002385  233382801 |1518779353 
       176 |  15698816  159840980  120469945  235620122 |1540460954 
       177 |  16130102  160120624  123013664  240184178 |1538540997 
       178 |  17997495  158269668  125204061  233315882 |1534078210 
       179 |  18291199  165294565  126783865  236664328 |1569025179 
       180 |  17538315  165069943  126113245  239119129 |1590665214 
       181 |  17635369  167446226  126886086  243191495 |1592255448 
       182 |  16316300  166110460  127512337  237444331 |1579224441 
       183 |  17548866  170978494  127969667  243600917 |1625729723 
       184 |  16833508  169626282  129141738  242390618 |1643358614 
       185 |  15607580  169156843  131612568  249611445 |1645359038 
       186 |  15434793  168571729  133272945  244477959 |1635774906 
       187 |  16730564  171573950  136770786  245570765 |1668828229 
       188 |  15772297  172809935  139298110  242344402 |1678997992 
