
. tab ciclo act1 [fweight=facexp] if sexo1==0&state=="T"&age3040&husband==1

           |                                     act1
     ciclo |         0          1          2          3          4          5          6 |     Total
-----------+-----------------------------------------------------------------------------+----------
       184 |   2452612    5170000    1476054 |  31871975 
       185 |   2376619    5061042    1383519 |  33260890 
       186 |   1787236    4713501    1271462 |  30455431 
       187 |   2056830    5149692    1712384 |  31316344 
       188 |   1811014    5265360    1317255 |  29957660 
       189 |   1777679    4895628     929074 |  28876609 
       190 |   1707132    4780152     895652 |  27631793 
       191 |   1417256    4339938     571697 |  21209619 
       192 |   1583293    3921839     534893 |  24954995 
       193 |   1789538    5245906     514206 |  24694397 
       194 |   1055917    4760753     555546 |  23514234 
       195 |   1132020    4670586     501868 |  21867215 
       196 |   1179868    4473736     885664 |  24372415 
       197 |   1294726    4218750     633151 |  23182080 
       198 |    980252    4084662     775104 |  21216748 
       199 |   1339689    4717564     849032 |  20278737 
       200 |    704640    4051130     576797 |  16830599 
       201 |    617279    4250460     518291 |  13583755 
-----------+---------------------------------+----------
     Total | 162940776  338369892   88807831 |2524196242 

. log close
